PC1,PC2
1.7431920250979869,0.07125071541153952
1.641493337030427,-0.014981009182347318
2.411045702897335,-0.3202040157395608
1.748150410703288,-0.7585282211503745
3.0787073185338825,0.97171377063725
2.262385726762245,-0.017074917374511993
1.4579388487036715,-1.7606288540680206
1.676221489342181,-0.7465896487547276
3.3301479995264933,0.3836878513322762
0.8789060205970146,0.4209475790455128
0.4134697461078909,-0.49855776421889575
1.3794886331244713,0.37619612357580334
0.8195379176275271,0.14677374866953846
-0.7439673415354938,-0.25946714293754003
1.5031285652253343,0.41624582498452006
2.120396482413694,1.0866045013011465
0.8437518300707813,1.3005804849896874
0.27460692018082156,-0.9806756088291219
0.21931629624963755,-0.5174481035984624
0.4875262414416078,-1.5387961447608016
0.70800009732428,-0.34613060753640257
1.5851234768140576,-0.8536522915793103
2.724129810247662,0.11987375795877434
-1.098624910308801,-1.304499133011711
3.8675836452349928,-0.24268011013635543
0.4334086940078037,-0.7423487623369784
2.7627533583025348,0.5297359494901747
0.028513490445008935,0.44396888194034745
1.7314341031818758,-1.374675057712263
2.715221026685435,0.420086981666692
0.32172284380608857,-0.09936414133569337
1.5452314297498173,-0.6381446544928175
2.33437179683651,-0.5798859162195616
0.19804036940958394,-0.5747912688105842
2.335172062002482,-0.6953992926830985
1.5649038304776421,1.1399215883397256
0.21268160912345177,1.1893144003471137
0.6033369123951176,-1.168013151773097
-0.09086293963097852,-0.027939719171957842
2.0896979544963186,-0.2300813164159632
1.002597094614776,-0.3133565066855166
1.4671051476923105,-0.34622295995854446
2.1309498906742355,-0.38239265329000743
2.7436238751348943,-0.861895875666347
1.4023734991910264,-0.36642272283887267
0.2557740907389269,-0.2724431411980113
2.582123555713247,0.5661848614952869
1.4379645863617467,-0.8864563575681809
2.447805259582579,-0.02114318571399826
2.0256710989940445,0.3478102912071537
0.4310371107187618,-0.19944146291216933
2.2616574507250085,0.30994207672153334
1.4899411540912133,-1.1066326364887389
0.31795598584277907,-1.0482148996304743
1.0951881015493268,0.7908614811610911
2.1464037628535473,-0.28119745055855
-0.8248174036511918,-1.0954824654300217
1.0015810190414522,-0.2973290716405113
-0.008641061684617615,-0.6270633371439112
2.4689700648985102,-0.19182481610938526
0.5136164364366285,0.05639173218802911
-2.829944703048515,4.517740858131602
-2.9887694526931896,0.9468972888408886
-2.741923747068258,4.009298235491775
-1.9917695744592792,3.033222322342879
-0.9047979605687074,-0.010375431358306488
-0.8500808485713772,0.38069085638980255
-1.6050916207174768,1.5696165421080859
-1.4103052414950936,1.1340962519955675
1.0183085242534722,1.7717293407050723
-2.9619401062673636,0.022297427249338125
-0.4639954471023181,-1.3941257020296007
-0.3200097169482916,0.13457729651365513
-1.4077107448742943,2.6320653056487995
-1.2930487368911725,0.7553996387893531
0.24567128840078858,-0.4901546169732815
-0.9124349292251628,2.0787672978069347
1.446718055561407,3.457266880604079
-3.0255849897433627,-1.311505736998907
-0.26929537954860894,0.4689903669328304
-1.89725566854159,2.464476640121078
-0.9723133886650156,1.1043753611787375
-1.1463744822577497,1.9989279094111745
-1.6097482919756814,2.4013164004693204
-3.665450322859687,4.306218013524581
-2.107101721451001,2.6393293644618407
-2.8362793414458816,3.529092578698912
-0.5473621006616872,3.6224295062586838
-1.3938711304152995,3.6326071346698874
-1.02946773979335,0.9500397916143297
-1.8095586353455606,1.6338201215007682
-0.9478493851276478,3.5122504443897284
-1.0819482629193973,2.4513810721381772
-1.1026001528948235,2.9047184063482576
-0.8068350356026763,0.18109097729990373
-1.6880282432677487,4.600700836877403
0.016477431439315383,2.7204562131363996
-2.9299631574334883,2.4192908730914517
0.3316532413051761,4.41802502233559
-1.7084796604503738,1.5126345408014843
-0.9795502491590604,0.9290538581094719
-1.4344864478959662,-1.636333086038386
0.23233033137202155,-0.7401156944054987
-1.63175668081079,1.5097891369734748
-1.4370374282051437,-0.9376085364255018
-0.4403367015564573,-2.1561069954933996
-0.21590262049841327,1.0455995171534724
-0.5469370585919548,1.6845581444314786
-1.5340668622602451,2.733095093384049
-1.6074945412220862,-0.5117086027159685
-0.9137364308403322,0.6350798613718766
-0.6501050805622403,2.1909404771123717
-1.6433007078945643,4.646864486260943
-0.1428622158249751,1.3938113035352366
-0.8005329489984425,0.010659341263387847
-0.8418645917152623,0.4099523192295063
0.4409873878311287,-1.006554189516022
-1.5611361071484005,0.07257409956293913
-1.8928459087363343,-0.38115336870351435
-1.0624025499230432,0.09215308187556318
-2.284017269949226,3.0944437214685374
-0.02148725549744767,0.9440433303289764
-0.1640995059990103,1.831830852233545
-1.9361300934553507,-0.046692857722090156
-0.4611069462088722,0.7391401699228495
-2.0815793383607963,1.0572114377354218
0.5601382243977037,1.0978858970264447
-1.7527881102795606,-0.14505323117523244
-1.644892893853765,2.0481092028975936
-1.2733065465508597,1.7730530913202691
0.583503843663264,0.45262112907053026
-0.020699003881456998,1.5076207473583472
-0.7909805562041354,1.6299829306331806
-1.0636477000356033,2.674983956297809
-2.2968990847578454,1.3518706809341694
0.15623220130865614,1.771278214637068
-0.4536379850793514,2.589148326017454
